Date,Platform,Amount,Rate
2023-01-15,Wealthfront,15000.50,4.5
2023-01-15,Robinhood,5200.75,0.0
2023-01-15,Real Estate,250000,3.0
2023-01-15,Savings,12500,1.5
2023-01-15,Retirement,78000,5.2
2023-02-15,Wealthfront,15500.00,4.5
2023-02-15,Robinhood,5100.25,0.0
2023-02-15,Real Estate,252500,3.1
2023-02-15,Savings,14000,1.5
2023-02-15,Retirement,79800,5.2
2023-03-15,Wealthfront,16050.25,4.6
2023-03-15,Robinhood,5500.50,0.0
2023-03-15,Real Estate,255000,3.1
2023-03-15,Savings,15500,1.6
2023-03-15,Retirement,82500,5.3
2023-04-15,Wealthfront,16500.75,4.6
2023-04-15,Robinhood,5350.25,0.0
2023-04-15,Real Estate,257500,3.2
2023-04-15,Savings,16800,1.6
2023-04-15,Retirement,84600,5.3
2023-05-15,Wealthfront,17000.00,4.7
2023-05-15,Robinhood,6100.50,0.0
2023-05-15,Real Estate,260000,3.2
2023-05-15,Savings,18200,1.7
2023-05-15,Retirement,86500,5.4
2023-06-15,Wealthfront,17500.25,4.7
2023-06-15,Robinhood,6300.75,0.0
2023-06-15,Real Estate,262500,3.3
2023-06-15,Savings,19500,1.7
2023-06-15,Retirement,88700,5.4
2023-07-15,Wealthfront,18100.50,4.8
2023-07-15,Robinhood,6500.25,0.0
2023-07-15,Real Estate,265000,3.3
2023-07-15,Savings,21000,1.8
2023-07-15,Retirement,91200,5.5
2023-08-15,Wealthfront,18650.75,4.8
2023-08-15,Robinhood,6250.50,0.0
2023-08-15,Real Estate,267500,3.4
2023-08-15,Savings,22500,1.8
2023-08-15,Retirement,93800,5.5
2023-09-15,Wealthfront,19200.00,4.9
2023-09-15,Robinhood,6800.25,0.0
2023-09-15,Real Estate,270000,3.4
2023-09-15,Savings,24000,1.9
2023-09-15,Retirement,96500,5.6
2023-10-15,Wealthfront,19750.50,4.9
2023-10-15,Robinhood,7100.75,0.0
2023-10-15,Real Estate,272500,3.5
2023-10-15,Savings,25500,1.9
2023-10-15,Retirement,99200,5.6
2023-11-15,Wealthfront,20300.25,5.0
2023-11-15,Robinhood,7350.25,0.0
2023-11-15,Real Estate,275000,3.5
2023-11-15,Savings,27000,2.0
2023-11-15,Retirement,102000,5.7
2023-12-15,Wealthfront,20950.75,5.0
2023-12-15,Robinhood,7600.50,0.0
2023-12-15,Real Estate,277500,3.6
2023-12-15,Savings,28500,2.0
2023-12-15,Retirement,105000,5.7
2024-01-15,Wealthfront,21500.00,5.1
2024-01-15,Robinhood,7850.25,0.0
2024-01-15,Real Estate,280000,3.6
2024-01-15,Savings,30000,2.1
2024-01-15,Retirement,108000,5.8
